task_id,difficulty_level,task_title,task_description,expected_output,evaluation_criteria
DA-E-027,Easy,Label Charts with Titles and Legends,"In this task, enhance existing charts by adding titles, axis labels, and legends. Proper labeling is essential for professional reports. Step by step, update chart properties. Hint: Titles should describe the data clearly.","Charts labeled correctly","Clarity, completeness of labels"
DA-E-028,Easy,Export Cleaned Dataset to File,"This task requires exporting a cleaned dataset to a new file for sharing or further analysis. Data analysts often deliver cleaned data as output. Step by step, save dataset to CSV or Excel format. Hint: Verify file path and format.","Dataset exported successfully","Correct file export and data integrity"
DA-E-029,Easy,Import Dataset from Excel File,"In this task, load a dataset from an Excel file instead of CSV. Analysts frequently work with Excel data. Step by step, select correct sheet and load data. Hint: Check sheet names.","Excel dataset loaded correctly","Correct import and data accuracy"
DA-E-030,Easy,Inspect Dataset for Out-of-Range Values,"Analyze numeric columns to identify values that fall outside expected ranges. This helps detect data entry errors. Step by step, define valid ranges and check values. Hint: Compare against domain knowledge.","Out-of-range values identified","Correct detection and reporting"
DA-E-031,Easy,Generate Simple Data Quality Report,"This task focuses on summarizing data quality aspects such as missing values, duplicates, and data types. Step by step, compile findings into a simple report. Hint: Combine earlier inspection results.","Basic data quality report created","Completeness and clarity of report"
DA-E-032,Easy,Understand Dataset Context and Description,"In this task, write a brief description explaining what the dataset represents, including its source and purpose. Understanding context is crucial for analysis accuracy. Step by step, review dataset and document observations. Hint: Think about who would use this data.","Clear dataset description written","Clarity and relevance of explanation"
DA-E-033,Easy,Create Column-Level Documentation,"This task requires documenting each column by explaining what it represents. Column documentation improves collaboration and reuse. Step by step, list columns with descriptions. Hint: Use simple language.","Column documentation prepared","Accuracy and completeness"
DA-E-034,Easy,Identify Categorical and Numerical Columns,"In this task, classify dataset columns into categorical and numerical types. This helps decide suitable analysis methods. Step by step, inspect each column and classify accordingly. Hint: Numbers used as labels are categorical.","Columns classified correctly","Correct classification and reasoning"
DA-E-035,Easy,Calculate Percentage Contribution of Categories,"This task focuses on calculating percentage contribution of each category within a column. Percentages are commonly used in reports. Step by step, compute total and category percentages. Hint: Multiply by 100.","Correct percentage values displayed","Accurate calculation and clear presentation"
DA-E-036,Easy,Create Simple Histogram,"In this task, generate a histogram to visualize distribution of a numeric column. Histograms help understand data spread. Step by step, choose bins and plot histogram. Hint: Adjust bin size for clarity.","Histogram displayed correctly","Correct distribution visualization"
DA-E-037,Easy,Compare Two Columns Using Simple Table,"This task requires comparing two related columns side by side in a table. Comparison tables are used in reporting. Step by step, select columns and display together. Hint: Align values properly.","Comparison table created","Correct alignment and clarity"
DA-E-038,Easy,Check Consistency Between Related Columns,"In this task, verify consistency between related columns such as total and sum of parts. Consistency checks prevent logic errors. Step by step, compare values and report mismatches. Hint: Use calculated checks.","Inconsistencies identified","Accuracy of comparison and reporting"
DA-E-039,Easy,Prepare Dataset for Further Analysis,"This task focuses on final preparation of a dataset after basic cleaning and inspection. Step by step, ensure data types, missing values, and duplicates are handled. Hint: Review previous tasks.","Dataset ready for analysis","Completeness and correctness"
DA-E-040,Easy,Review and Validate All Easy-Level Tasks,"In this final easy-level task, review all previous tasks, re-run analyses, and validate results. This simulates quality checks done by junior analysts. Step by step, verify outputs and fix issues. Hint: Cross-check results carefully.","All easy-level tasks validated successfully","Accuracy, completeness, and consistency of results"
DA-M-001,Medium,Clean Dataset by Handling Missing Values,"Using a dataset that contains missing values, you must clean the data by applying appropriate strategies such as removing incomplete rows or filling missing values with statistical measures like mean, median, or mode. This task is important because raw datasets in real internships almost always contain missing data that can distort analysis results. Step by step, identify columns with missing values, decide the best handling method for each column based on its data type, apply the cleaning operation, and verify that no null values remain. Hint: Numerical and categorical columns often require different filling strategies.","Dataset with missing values properly handled and no null entries","Appropriate cleaning strategy, correctness of replacements, improved data quality"
DA-M-002,Medium,Generate Summary Statistics for Dataset,"In this task, calculate and display summary statistics such as mean, median, minimum, maximum, and standard deviation for all numerical columns in a dataset. Summary statistics are essential for understanding data distribution and variability in real-world analysis tasks. Step by step, select numeric columns, apply descriptive statistics functions, and present results clearly. Hint: Use built-in statistical functions for efficiency and accuracy.","Summary statistics displayed for all numerical columns","Accurate statistical calculations and clear presentation"
DA-M-003,Medium,Standardize Column Names,"This task requires standardizing column names by converting them into a consistent format such as lowercase, removing spaces, or replacing special characters. This is important in real projects to avoid errors during analysis and scripting. Step by step, inspect column names, apply naming rules, and verify consistency. Hint: Use simple string manipulation functions.","Clean and standardized column names","Consistency, correctness, and improved readability"
DA-M-004,Medium,Handle Inconsistent Categorical Values,"In this task, identify and fix inconsistent categorical values such as different spellings or cases for the same category. Inconsistent categories can lead to incorrect grouping and analysis. Step by step, review unique values, map incorrect entries to standardized ones, and verify results. Hint: Convert text to a common case before comparison.","Categorical values standardized correctly","Correct identification, proper mapping, clean categories"
DA-M-005,Medium,Remove Outliers Using Statistical Method,"This task focuses on identifying and removing outliers using a statistical approach such as the IQR or Z-score method. Outlier handling is important to avoid skewed analysis results. Step by step, calculate thresholds, detect outliers, and remove or flag them. Hint: Always justify the chosen method.","Outliers handled appropriately","Correct threshold calculation, logical handling of outliers"
DA-M-006,Medium,Create New Features from Existing Data,"In this task, you will perform feature engineering by creating new columns derived from existing data. Feature creation is commonly used to enhance analysis and modeling. Step by step, define a meaningful feature, apply calculations, and validate results. Hint: Ensure new features add analytical value.","New features created correctly","Logical feature design, correct calculations"
DA-M-007,Medium,Normalize Numerical Columns,"This task requires normalizing numerical columns to a common scale. Normalization is important when comparing values or preparing data for advanced analysis. Step by step, apply normalization techniques such as min-max scaling. Hint: Store normalized values in new columns.","Normalized numerical data","Correct scaling, data consistency"
DA-M-008,Medium,Aggregate Data Using Multiple Columns,"In this task, aggregate data by grouping on multiple categorical columns and calculating summary metrics. Multi-level aggregation is frequently used in business reporting. Step by step, define grouping columns and aggregation functions. Hint: Verify grouping combinations carefully.","Aggregated dataset created","Correct grouping and aggregation logic"
DA-M-009,Medium,Calculate Percentage Change Over Time,"This task focuses on calculating percentage change between time periods. This is important for trend analysis in business contexts. Step by step, sort data by time, calculate change, and interpret results. Hint: Use previous period values for calculation.","Percentage change calculated correctly","Accurate formula usage, correct time ordering"
DA-M-010,Medium,Create Correlation Matrix,"In this task, generate a correlation matrix for numerical variables to understand relationships between features. Correlation analysis is essential for identifying patterns. Step by step, select numeric columns and compute correlations. Hint: Focus on both positive and negative relationships.","Correlation matrix generated","Correct calculations, clear matrix presentation"
DA-M-011,Medium,Visualize Correlation Using Heatmap,"This task requires creating a heatmap to visualize correlations between variables. Heatmaps help analysts quickly interpret relationships. Step by step, generate correlation matrix and plot heatmap. Hint: Use color gradients effectively.","Correlation heatmap displayed","Clear visualization, correct data mapping"
DA-M-012,Medium,Create Box Plot for Outlier Detection,"In this task, create box plots for numerical columns to visually identify outliers. Visualization helps validate statistical findings. Step by step, select columns and generate box plots. Hint: Label plots clearly.","Box plots created","Correct plot interpretation, clarity"
DA-M-013,Medium,Analyze Distribution Using Histograms,"This task focuses on analyzing data distribution using histograms. Distribution analysis helps understand skewness and spread. Step by step, choose appropriate bin sizes and plot histograms. Hint: Compare multiple distributions if possible.","Histograms displayed correctly","Correct bin selection, accurate interpretation"
DA-M-014,Medium,Compare Categories Using Bar Charts,"In this task, compare different categories using bar charts. Bar charts are commonly used in business reports. Step by step, aggregate values by category and plot chart. Hint: Sort bars for better readability.","Bar chart comparison created","Accurate aggregation, clear visualization"
DA-M-015,Medium,Analyze Trends Using Line Charts,"This task requires creating line charts to analyze trends over time. Trend analysis is central to data analytics roles. Step by step, sort time data and plot trends. Hint: Ensure time axis is ordered correctly.","Trend line chart generated","Correct trend representation, clarity"
DA-M-016,Medium,Create Dashboard-Ready Visuals,"In this task, prepare clean and professional visuals suitable for dashboards. This simulates real internship deliverables. Step by step, refine charts with titles, legends, and consistent formatting. Hint: Focus on clarity and simplicity.","Dashboard-ready visuals created","Professional presentation, usability"
DA-M-017,Medium,Analyze Sales Performance by Region,"This task focuses on analyzing sales data grouped by region. Regional analysis supports strategic decisions. Step by step, group data, calculate metrics, and summarize findings. Hint: Compare regions using consistent metrics.","Regional performance summary","Accurate calculations, meaningful comparison"
DA-M-018,Medium,Analyze Customer Segments,"In this task, analyze customer data by segments such as age group or category. Segmentation analysis is widely used in marketing. Step by step, define segments and compute statistics. Hint: Ensure segments are logically defined.","Customer segment analysis results","Correct segmentation, insightful analysis"
DA-M-019,Medium,Identify Top Performing Categories,"This task requires identifying top-performing categories based on metrics like revenue or volume. This supports decision-making. Step by step, aggregate and rank categories. Hint: Sort results descending.","Top categories identified","Correct ranking, accurate metrics"
DA-M-020,Medium,Identify Underperforming Metrics,"In this task, identify metrics or categories that are underperforming. Recognizing weak areas is critical in analysis. Step by step, define thresholds and flag results. Hint: Use comparisons against averages.","Underperforming areas highlighted","Logical thresholds, clear identification"
DA-M-021,Medium,Analyze Month-over-Month Growth,"This task focuses on calculating and analyzing month-over-month growth. Growth analysis is common in business reporting. Step by step, group by month and compute growth rates. Hint: Handle missing months carefully.","Month-over-month growth calculated","Correct calculations, trend interpretation"
DA-M-022,Medium,Analyze Year-over-Year Comparison,"In this task, compare performance year-over-year to identify long-term trends. Step by step, group data by year and compare metrics. Hint: Align comparable periods.","Year-over-year comparison results","Correct grouping, meaningful insights"
DA-M-023,Medium,Create Pivot Table for Analysis,"This task requires creating a pivot table to summarize data across dimensions. Pivot tables are widely used by analysts. Step by step, choose rows, columns, and values. Hint: Experiment with different configurations.","Pivot table created","Correct configuration, clarity"
DA-M-024,Medium,Analyze Data Using Pivot Charts,"In this task, generate charts based on pivot tables to visualize summarized data. Step by step, select appropriate chart types. Hint: Keep visuals simple.","Pivot-based charts created","Correct chart mapping, readability"
DA-M-025,Medium,Compare Metrics Across Multiple Dimensions,"This task focuses on comparing metrics across more than one dimension such as region and product. Multi-dimensional analysis is common in analytics. Step by step, aggregate and compare results. Hint: Use grouped summaries.","Multi-dimensional comparison output","Correct aggregation, logical comparison"
DA-M-026,Medium,Detect Patterns and Trends in Data,"In this task, identify patterns and trends present in the dataset. This task develops analytical thinking beyond calculations. Step by step, analyze summaries and visuals to describe patterns. Hint: Look for recurring changes.","Patterns identified and described","Depth of analysis, correct interpretation"
DA-M-027,Medium,Prepare Analytical Summary Report,"This task requires summarizing analysis results in a written report. Communication is a key skill for data analysts. Step by step, structure findings and explain insights clearly. Hint: Focus on key takeaways.","Analytical report prepared","Clarity, structure, relevance"
DA-M-028,Medium,Validate Analysis Results","In this task, validate analysis results by cross-checking calculations and assumptions. Validation ensures reliability of insights. Step by step, review logic and results. Hint: Recalculate key metrics.","Validated analysis results","Accuracy, attention to detail"
DA-M-029,Medium,Handle Large Dataset Efficiently,"This task focuses on working with larger datasets efficiently. Performance awareness is important in real projects. Step by step, optimize data loading and processing steps. Hint: Avoid unnecessary computations.","Efficient dataset processing","Performance awareness, correct results"
DA-M-030,Medium,Analyze Data Using Conditional Logic,"In this task, apply conditional logic to categorize or flag data points. Conditional analysis is common in KPI tracking. Step by step, define conditions and apply them. Hint: Use if-else logic.","Conditional analysis results","Correct condition application"
DA-M-031,Medium,Prepare Dataset for Visualization Tools,"This task requires preparing data in a format suitable for visualization tools or dashboards. Step by step, reshape or aggregate data as needed. Hint: Think about tool requirements.","Visualization-ready dataset","Correct structure, usability"
DA-M-032,Medium,Create Calculated Metrics for KPIs,"In this task, calculate key performance indicators from raw data. KPIs are critical in business reporting. Step by step, define formulas and compute metrics. Hint: Validate formula logic.","Calculated KPIs produced","Accuracy, relevance of metrics"
DA-M-033,Medium,Analyze Customer Retention Rates,"This task focuses on calculating and analyzing customer retention. Retention analysis is key in subscription-based businesses. Step by step, track returning customers. Hint: Define retention period clearly.","Retention analysis results","Correct calculation, logical definition"
DA-M-034,Medium,Analyze Conversion Rates,"In this task, analyze conversion rates such as leads to customers. Conversion metrics are widely used in marketing analysis. Step by step, calculate ratios and interpret results. Hint: Use consistent denominators.","Conversion rates calculated","Accurate ratios, correct interpretation"
DA-M-035,Medium,Compare Planned vs Actual Performance,"This task compares planned targets with actual results. Variance analysis supports performance management. Step by step, compute differences and percentages. Hint: Highlight deviations.","Variance analysis output","Correct calculations, clarity"
DA-M-036,Medium,Perform Data Consistency Checks Across Tables,"In this task, check consistency across multiple related datasets. Data consistency is crucial in real projects. Step by step, compare keys and values. Hint: Use joins for validation.","Consistency issues identified","Accuracy, attention to detail"
DA-M-037,Medium,Join Multiple Datasets for Analysis,"This task focuses on joining multiple datasets using common keys. Data integration is a core analyst skill. Step by step, choose join type and merge data. Hint: Verify join results carefully.","Joined dataset created","Correct join logic, data integrity"
DA-M-038,Medium,Analyze Joined Dataset for Insights,"In this task, analyze a merged dataset to extract insights. Joined data often reveals deeper patterns. Step by step, perform grouped analysis. Hint: Use combined attributes.","Insights derived from joined data","Depth of analysis, correctness"
DA-M-039,Medium,Create Time-Series Aggregations,"This task focuses on aggregating data over time periods. Time-series analysis is common in forecasting. Step by step, group by time units. Hint: Ensure correct date parsing.","Time-series aggregation output","Correct grouping, time handling"
DA-M-040,Medium,Identify Seasonality Patterns,"In this task, identify seasonal patterns in time-series data. Seasonality affects planning decisions. Step by step, compare metrics across periods. Hint: Look for repeating trends.","Seasonality patterns identified","Correct pattern recognition"
DA-M-041,Medium,Analyze Data Variability,"This task focuses on measuring variability using statistical measures. Understanding variability helps assess risk. Step by step, compute variance and standard deviation. Hint: Interpret results contextually.","Variability measures calculated","Correct statistics, interpretation"
DA-M-042,Medium,Prepare Data for Predictive Modeling,"In this task, prepare cleaned and structured data for predictive modeling. This simulates handoff to data science teams. Step by step, select features and finalize dataset. Hint: Ensure no missing values.","Model-ready dataset","Completeness, correctness"
DA-M-043,Medium,Document Data Analysis Process,"This task requires documenting the analysis steps taken. Documentation is essential for reproducibility. Step by step, describe workflow and decisions. Hint: Be clear and structured.","Documented analysis process","Clarity, completeness"
DA-M-044,Medium,Peer Review Another Analyst’s Work,"In this task, review another analyst’s analysis for correctness and clarity. Peer reviews improve quality. Step by step, evaluate logic and results. Hint: Provide constructive feedback.","Review feedback provided","Quality of review, correctness"
DA-M-045,Medium,Review and Validate All Medium-Level Tasks,"In this final medium-level task, review all previous medium tasks, re-run analyses, and validate outputs. This simulates mid-level analyst quality checks. Step by step, verify consistency and correctness. Hint: Cross-check key results.","All medium-level tasks validated","Accuracy, completeness, consistency"
DA-H-001,Hard,Perform Exploratory Data Analysis (EDA),"In this task, you will conduct a complete exploratory data analysis on a real-world dataset to uncover patterns, trends, relationships, and potential anomalies. This task is important because EDA is a standard responsibility of data analysts before any modeling or reporting work begins. Step by step, you should inspect distributions of numerical variables, analyze categorical variables, explore relationships between features using visualizations, and identify outliers or unusual behavior. You must also summarize key findings in clear written form. Hint: Use a combination of statistical summaries and visual charts to support your analysis.","A structured EDA report with visualizations and key insights","Depth of analysis, correctness of observations, clarity of explanations"
DA-H-002,Hard,Create Data-Driven Business Insights,"In this task, you will analyze a dataset and translate numerical findings into meaningful business insights. This task simulates real internship work where analysts are expected to explain what the data means, not just calculate numbers. Step by step, identify important trends, comparisons, and performance indicators, then explain their implications in a business context. Hint: Focus on answering questions such as what is happening, why it matters, and what action could be taken.","Clear business insights supported by data analysis","Quality of insights, relevance to business goals, correctness of interpretation"
DA-H-003,Hard,Analyze Customer Behavior Patterns,"This task focuses on understanding customer behavior using transactional or interaction data. Understanding customer behavior is essential for marketing and product decisions. Step by step, segment customers based on behavior, analyze frequency or value metrics, and identify common patterns. Hint: Group customers by meaningful behavioral attributes.","Customer behavior patterns clearly identified","Correct segmentation logic, meaningful pattern analysis"
DA-H-004,Hard,Perform Cohort Analysis,"In this task, you will perform cohort analysis to track how different groups of users behave over time. Cohort analysis is commonly used in subscription and product analytics. Step by step, define cohorts based on signup date or first activity, calculate retention or performance metrics, and compare cohorts. Hint: Ensure cohorts are consistently defined.","Cohort-based performance metrics and comparison","Correct cohort definition, accurate calculations"
DA-H-005,Hard,Analyze Funnel Conversion Rates,"This task requires analyzing conversion rates across multiple stages of a funnel, such as visits to purchases. Funnel analysis helps identify drop-off points. Step by step, define funnel stages, calculate conversion percentages, and identify where users exit. Hint: Each stage should logically follow the previous one.","Funnel conversion rates and drop-off points identified","Correct funnel logic, accurate percentage calculations"
DA-H-006,Hard,Detect Anomalies in Time-Series Data,"In this task, you will identify unusual spikes or drops in time-series data. Anomaly detection is important for monitoring systems and business KPIs. Step by step, visualize time-series data, apply statistical thresholds, and flag anomalies. Hint: Compare values against historical trends.","Anomalies clearly detected and reported","Correct anomaly detection, logical threshold selection"
DA-H-007,Hard,Analyze Revenue Trends Over Time,"This task focuses on analyzing revenue data across time periods to identify growth or decline patterns. Revenue trend analysis supports financial planning. Step by step, aggregate revenue by time period, visualize trends, and interpret changes. Hint: Adjust for seasonality if needed.","Revenue trends and insights identified","Correct aggregation, meaningful interpretation"
DA-H-008,Hard,Identify Key Performance Indicators (KPIs),"In this task, you will identify and calculate key performance indicators relevant to a dataset. KPIs are critical metrics used by management for decision-making. Step by step, select relevant metrics, define formulas, calculate values, and explain their significance. Hint: KPIs should align with business objectives.","Clearly defined and calculated KPIs","Relevance of KPIs, accuracy of calculations"
DA-H-009,Hard,Build Analytical Dashboard Layout (Conceptual),"This task requires designing the layout of an analytical dashboard that communicates insights effectively. Dashboard design is an important analyst skill. Step by step, decide which charts, tables, and KPIs to include and how they should be arranged. Hint: Prioritize clarity and user needs.","Dashboard layout design prepared","Logical layout, relevance of components"
DA-H-010,Hard,Perform Multi-Dimensional Analysis,"In this task, analyze data across multiple dimensions such as time, region, and category simultaneously. Multi-dimensional analysis reveals deeper insights. Step by step, create aggregated views and compare across dimensions. Hint: Use pivot-style thinking.","Multi-dimensional analysis results","Correct aggregation, insightful comparisons"
DA-H-011,Hard,Analyze Customer Lifetime Value (CLV),"This task focuses on calculating and analyzing customer lifetime value. CLV helps businesses understand long-term customer profitability. Step by step, define CLV formula, calculate values, and compare customer segments. Hint: Use historical data for estimation.","Customer lifetime value calculated and analyzed","Correct formula application, logical assumptions"
DA-H-012,Hard,Perform Market Basket Analysis,"In this task, perform market basket analysis to identify products frequently purchased together. This analysis is used in retail and recommendation systems. Step by step, prepare transactional data, calculate item associations, and interpret results. Hint: Focus on frequently occurring item pairs.","Frequent item associations identified","Correct association logic, meaningful interpretation"
DA-H-013,Hard,Analyze Churn Risk Factors,"This task focuses on identifying factors that contribute to customer churn. Churn analysis helps retention strategies. Step by step, compare retained vs churned users and analyze key differences. Hint: Look for behavior changes before churn.","Churn risk factors identified","Correct comparison logic, actionable insights"
DA-H-014,Hard,Create Executive-Level Summary Report,"In this task, prepare a concise summary report for executives based on analysis findings. Executives need high-level insights rather than raw data. Step by step, select key findings, write clear explanations, and avoid technical jargon. Hint: Focus on impact and recommendations.","Executive-ready summary report","Clarity, relevance, and conciseness"
DA-H-015,Hard,Analyze Pricing Sensitivity,"This task requires analyzing how changes in price affect demand or sales. Pricing sensitivity analysis supports pricing strategy decisions. Step by step, compare sales across price ranges and interpret elasticity. Hint: Look for inverse relationships.","Pricing sensitivity insights identified","Correct analysis, business relevance"
DA-H-016,Hard,Perform Statistical Hypothesis Testing,"In this task, you will perform statistical hypothesis testing to compare groups or metrics. Hypothesis testing is used to validate assumptions. Step by step, define null and alternative hypotheses, choose appropriate tests, and interpret results. Hint: Check test assumptions first.","Hypothesis test results interpreted correctly","Correct test selection, accurate interpretation"
DA-H-017,Hard,Analyze A/B Test Results,"This task focuses on analyzing results from an A/B experiment. A/B testing is common in product optimization. Step by step, compare metrics between control and test groups and determine significance. Hint: Use statistical comparison methods.","A/B test outcome determined","Correct comparison, statistical reasoning"
DA-H-018,Hard,Perform Regression Analysis for Insights,"In this task, use regression analysis to understand relationships between variables. Regression helps quantify impact of predictors. Step by step, select variables, run regression, and interpret coefficients. Hint: Check model assumptions.","Regression results and interpretation","Correct model setup, meaningful interpretation"
DA-H-019,Hard,Analyze Correlation vs Causation,"This task requires explaining the difference between correlation and causation using dataset examples. This distinction is critical for responsible analysis. Step by step, identify correlated variables and explain limitations. Hint: Correlation does not imply causation.","Clear explanation with examples","Concept clarity, correct reasoning"
DA-H-020,Hard,Create Data Storytelling Narrative,"In this task, create a narrative that tells a story using data findings. Data storytelling helps communicate insights effectively. Step by step, organize insights logically and support them with visuals or metrics. Hint: Structure story with beginning, insight, and conclusion.","Data-driven narrative created","Clarity, engagement, logical flow"
DA-H-021,Hard,Identify Bias in Dataset and Analysis,"This task focuses on identifying potential biases in data collection or analysis. Bias awareness is important for ethical analysis. Step by step, review data sources and assumptions. Hint: Consider who or what may be underrepresented.","Biases identified and explained","Critical thinking, ethical awareness"
