task_id,difficulty_level,task_title,task_description,expected_output,evaluation_criteria
DS-E-033,Easy,Identify Real-World Applications of Data Structures,"In this task, you will identify real-world applications of data structures such as stacks, queues, and linked lists. Step by step, map structures to real systems. Hint: Use OS, browsers, or apps.",List of real-world applications,"Relevance, correctness"
DS-E-034,Easy,Understand Sorting Concepts,"This task focuses on understanding sorting and why it is important in data processing. Step by step, explain ordering of data. Hint: Sorting improves search efficiency.",Sorting concept explained,Concept clarity
DS-E-035,Easy,Implement Bubble Sort Algorithm,"In this task, you will implement the bubble sort algorithm. Step by step, compare adjacent elements and swap them if needed. Hint: Largest element bubbles to the end.",Array sorted correctly,Correct sorting logic
DS-E-036,Easy,Understand Searching Concepts,"This task introduces searching concepts and their importance. Step by step, explain how searching locates data. Hint: Searching finds element position.",Clear searching explanation,Concept understanding
DS-E-037,Easy,Implement Linear Search Algorithm,"This task requires implementing linear search on an array. Step by step, check each element sequentially. Hint: Stop when found.",Correct search result,"Correct logic, proper traversal"
DS-E-038,Easy,Understand Role of Data Structures in Software Systems,"This task focuses on explaining how data structures support software systems such as databases and applications. Step by step, connect performance and structure. Hint: Efficiency matters.",Explanation provided,Practical relevance
DS-E-039,Easy,Write Clean and Readable Code for Data Structures,"In this task, you will refactor existing data structure code to improve readability. Step by step, rename variables, format code, and add comments. Hint: Clean code is easier to maintain.",Clean readable code,"Readability, best practices"
DS-E-040,Easy,Test and Review All Easy-Level Implementations,"In this final task, you will test all easy-level data structure programs and fix any errors. Step by step, run each program and verify outputs. Hint: Debug carefully.",All programs run successfully,"Correct execution, completeness
"
DS-M-001,Medium,Implement Stack Using Array,"In this task, you will design and implement a complete stack data structure using an array. This task is important because stacks are widely used in real-world systems such as undo/redo functionality, function call handling, and expression evaluation. Step by step, you must define an array, maintain a top pointer, and implement core stack operations including push, pop, and peek. You should also handle stack overflow and underflow conditions gracefully with proper messages. Hint: Initialize the top pointer to -1 and always validate boundaries before operations.","Stack supports push, pop, and peek operations correctly","orrect LIFO behavior, proper boundary handling, clean and logical implementation"
DS-M-002,Medium,Check Balanced Parentheses Using Stack,"In this task, you will create a program that checks whether an expression contains balanced parentheses using a stack. This problem demonstrates a real-world use of stacks in syntax checking and compilers. Step by step, scan the expression character by character, push opening brackets onto the stack, and pop when matching closing brackets are encountered. At the end, ensure the stack is empty. Hint: Handle different types of brackets such as (), {}, and [].",Program correctly identifies balanced and unbalanced expressions,"Correct stack usage, accurate bracket matching, edge case handling"
DS-M-003,Medium,Reverse a String Using Stack,"This task requires reversing a string using a stack data structure instead of built-in functions. This task is important because it strengthens understanding of stack behavior and data reversal logic. Step by step, push each character of the string onto the stack and then pop them to form the reversed string. Hint: The LIFO nature of stacks naturally reverses order.",String reversed correctly using stack,"Correct stack operations, no built-in reverse usage"
DS-M-004,Medium,Implement Queue Using Linked List,"In this task, you will implement a queue using a linked list instead of an array. This is important because linked lists allow dynamic memory allocation and efficient enqueue/dequeue operations. Step by step, maintain front and rear pointers, implement enqueue at rear and dequeue from front, and handle empty queue cases. Hint: When the queue becomes empty, update both front and rear to null.",Queue operations work correctly using linked list,"Correct FIFO behavior, pointer management, no memory issues"
DS-M-005,Medium,Implement Circular Queue Using Array,"This task focuses on implementing a circular queue using an array to efficiently utilize memory. Circular queues are used in buffering systems and scheduling algorithms. Step by step, apply modulo arithmetic to manage front and rear pointers and handle full and empty conditions. Hint: Queue is full when (rear + 1) % size == front.",Circular queue functions correctly,"Correct circular logic, proper overflow/underflow handling"
DS-M-006,Medium,Implement Deque (Double-Ended Queue),"In this task, you will implement a deque that allows insertion and deletion from both front and rear ends. Deques are used in task scheduling and sliding window problems. Step by step, design operations to insert and delete from both ends while maintaining correctness. Hint: Carefully manage front and rear indices.",Deque supports all operations correctly,"Correct logic for both ends, stable behavior"
DS-M-007,Medium,Implement Singly Linked List with Full Operations,"This task requires building a complete singly linked list implementation. This includes insertion at beginning, insertion at end, deletion by value, and traversal. Linked lists are fundamental in memory-efficient data management. Step by step, handle pointer updates carefully for each operation. Hint: Always check for empty list before operations.",Fully functional singly linked list,"Correct pointer handling, no memory leaks"
DS-M-008,Medium,Search an Element in Singly Linked List,"In this task, you will search for a given element in a singly linked list. Searching linked lists is common in record-based systems. Step by step, traverse the list node by node and compare values until found or end is reached. Hint: Use a temporary pointer for traversal.",Search result correctly displayed,"Accurate traversal, correct comparison logic"
DS-M-009,Medium,Detect Length of Linked List,"This task focuses on finding the length of a linked list. Knowing list size is important for many algorithms and validations. Step by step, traverse the list and increment a counter until the end. Hint: Start counting from the head node.",Correct length of linked list displayed,"Complete traversal, accurate counting"
DS-M-010,Medium,Reverse a Singly Linked List,"In this task, you will reverse a singly linked list iteratively. Reversing linked lists is a common interview and internship task. Step by step, update next pointers carefully using previous, current, and next references. Hint: Maintain three pointers during reversal.",Linked list reversed successfully,"Correct pointer updates, no data loss"
DS-M-011,Medium,Implement Doubly Linked List with Operations,"This task requires implementing a doubly linked list with insertion, deletion, and traversal in both directions. Doubly linked lists allow bidirectional navigation in applications like browsers. Step by step, manage both next and previous pointers. Hint: Update both links during insertion and deletion.",Fully functional doubly linked list,"Correct bidirectional traversal, pointer accuracy"
DS-M-012,Medium,Find Middle Element of Linked List,"In this task, you will find the middle element of a linked list. This task introduces efficient traversal techniques. Step by step, use slow and fast pointers to locate the middle in one pass. Hint: Fast pointer moves twice as fast as slow pointer.",Middle element identified correctly,"Efficient logic, correct pointer usage"
DS-M-013,Medium,Detect Loop in Linked List,"This task focuses on detecting whether a linked list contains a loop. Loop detection is critical in avoiding infinite traversals. Step by step, use Floyd’s cycle detection algorithm with two pointers. Hint: If slow and fast pointers meet, a loop exists.",Loop presence detected correctly,"Efficient cycle detection, optimal complexity"
DS-M-014,Medium,Merge Two Sorted Linked Lists,"In this task, you will merge two sorted linked lists into one sorted list. This operation is common in data processing pipelines. Step by step, compare node values and rearrange pointers accordingly. Hint: Use a dummy node to simplify logic.",Merged sorted linked list,"Correct sorting order, pointer correctness"
DS-M-015,Medium,Implement Stack Using Linked List,"This task requires implementing a stack using a linked list instead of an array. This approach avoids fixed size limitations. Step by step, perform push and pop operations at the head of the list. Hint: Head represents top of stack.",Stack implemented using linked list,"Correct LIFO behavior, dynamic memory handling"
DS-M-016,Medium,Implement Queue Using Two Stacks,"In this task, you will implement a queue using two stacks. This task improves algorithmic thinking and understanding of data structure transformation. Step by step, use one stack for enqueue and another for dequeue. Hint: Transfer elements only when needed.",Queue operations work using stacks,"Correct logic, efficient stack usage"
DS-M-017,Medium,Implement Infix to Postfix Conversion,"This task focuses on converting infix expressions to postfix using a stack. This is important in expression evaluation systems. Step by step, handle operator precedence and parentheses. Hint: Use a stack for operators.",Correct postfix expression generated,"Operator precedence handling, correct conversion"
DS-M-018,Medium,Evaluate Postfix Expression Using Stack,"In this task, you will evaluate a postfix expression using a stack. Expression evaluation is common in compilers and calculators. Step by step, push operands and apply operators. Hint: Pop operands in correct order.",Postfix expression evaluated correctly,"Correct evaluation logic, stack usage"
DS-M-019,Medium,Implement Binary Search on Sorted Array,"This task introduces binary search, an efficient searching algorithm used in large datasets. Step by step, divide the search space in half based on comparisons. Hint: Array must be sorted.",Correct search result using binary search,"Correct logic, O(log n) behavior"
DS-M-020,Medium,Compare Linear Search and Binary Search,"In this task, you will compare linear and binary search in terms of time complexity and use cases. Step by step, analyze best, worst, and average cases. Hint: Binary search requires sorted data.",Comparison explanation provided,"Correct analysis, clarity"
DS-M-021,Medium,Implement Selection Sort Algorithm,"This task focuses on implementing selection sort. Although not efficient for large data, it helps understand selection logic. Step by step, select minimum element and swap. Hint: Reduce unsorted portion gradually.",Array sorted using selection sort,Correct sorting logic
DS-M-022,Medium,Implement Insertion Sort Algorithm,"In this task, you will implement insertion sort, commonly used for small datasets. Step by step, insert each element into its correct position. Hint: Shift elements to make space.",Array sorted using insertion sort,Correct insertion logic
DS-M-023,Medium,Analyze Time Complexity of Sorting Algorithms,"This task requires analyzing time complexity of bubble, selection, and insertion sort. Step by step, compare their performance. Hint: Focus on worst-case complexity.",Correct complexity analysis,Accurate Big-O notation
DS-M-024,Medium,Implement Recursion for Fibonacci Series,"In this task, you will generate Fibonacci numbers using recursion. This task reinforces recursive thinking. Step by step, define base cases and recursive calls. Hint: Fibonacci grows exponentially.",Fibonacci series generated,Correct recursion logic
DS-M-025,Medium,Optimize Fibonacci Using Memoization,"This task improves recursive Fibonacci using memoization. This introduces dynamic programming concepts. Step by step, store previously computed values. Hint: Use an array or map.",Optimized Fibonacci implementation,"Improved performance, correct caching"
DS-M-026,Medium,Understand Tree Data Structure Concept,"This task introduces tree data structures and hierarchical data representation. Trees are used in file systems and databases. Step by step, explain root, child, and leaf nodes. Hint: Trees are non-linear structures.",Clear explanation of trees,Concept clarity
DS-M-027,Medium,Implement Binary Tree Node Structure,"In this task, you will implement a node structure for a binary tree. Step by step, define left and right child pointers. Hint: Node contains data and two references.",Binary tree node created,Correct structure definition
DS-M-028,Medium,"Implement Binary Tree Traversals""","This task focuses on implementing inorder, preorder, and postorder traversals. Traversals are essential for processing tree data. Step by step, use recursion. Hint: Follow correct traversal order.",Tree traversals output correctly,Correct traversal logic
DS-M-029,Medium,Find Height of Binary Tree,"In this task, you will calculate the height of a binary tree. Height calculation is used in balancing and optimization. Step by step, compute height recursively. Hint: Height is max of left and right subtree plus one.",Correct tree height displayed,"Accurate recursion, correct logic"
DS-M-030,Medium,Count Leaf Nodes in Binary Tree,"This task requires counting leaf nodes in a binary tree. Leaf nodes represent end points. Step by step, traverse tree and count nodes with no children. Hint: Leaf has no left and right.",Correct leaf count,Accurate traversal and counting
DS-M-031,Medium,Implement Binary Search Tree Insertion,"In this task, you will implement insertion in a Binary Search Tree. BSTs are used for efficient searching. Step by step, compare values and insert accordingly. Hint: Left < root < right.",BST insertion works correctly,BST property maintained
DS-M-032,Medium,Search Element in Binary Search Tree,"This task focuses on searching an element in a BST. Step by step, traverse left or right based on comparison. Hint: Use BST ordering.",Search result displayed,Correct BST traversal
DS-M-033,Medium,Find Minimum and Maximum in BST,"In this task, you will find minimum and maximum values in a BST. Step by step, move leftmost for min and rightmost for max. Hint: No need to traverse whole tree.",Min and max values found,"Correct logic, efficiency"
DS-M-034,Medium,Implement Level Order Traversal of Tree,"This task introduces level order traversal using a queue. Step by step, visit nodes level by level. Hint: Use queue for BFS.",Level order traversal output,Correct BFS logic
DS-M-035,Medium,Understand Heap Data Structure Concept,"This task introduces heaps and their properties. Heaps are used in priority queues. Step by step, explain max-heap and min-heap. Hint: Parent-child relationship matters.",Heap concept explained,Concept clarity
DS-M-036,Medium,Implement Max Heap Insertion,"In this task, you will implement insertion in a max heap. Step by step, insert element and heapify upward. Hint: Compare with parent.",Max heap insertion works,Heap property maintained
DS-M-037,Medium,Implement Min Heap Insertion,"This task focuses on min heap insertion. Step by step, ensure smallest element is at root. Hint: Heapify up.",Min heap insertion works,Correct heap logic
DS-M-038,Medium,Implement Heap Deletion Operation,"In this task, you will delete the root element from a heap. Step by step, replace root and heapify down. Hint: Restore heap property.",Heap deletion works correctly,Correct deletion logic
DS-M-039,Medium,Implement Priority Queue Using Heap,"This task requires implementing a priority queue using a heap. Priority queues are used in scheduling systems. Step by step, enqueue with priority and dequeue highest priority. Hint: Heap fits priority queues naturally.",Priority queue operations work,Correct priority handling
DS-M-040,Medium,Understand Graph Data Structure Concept,"This task introduces graphs and their real-world applications. Graphs represent networks. Step by step, explain vertices and edges. Hint: Think social networks.",Graph concept explained,Concept clarity
DS-M-041,Medium,Represent Graph Using Adjacency Matrix,"In this task, you will represent a graph using an adjacency matrix. Step by step, create matrix and fill edges. Hint: Matrix size is VxV.",Adjacency matrix created,Correct representation
DS-M-042,Medium,Represent Graph Using Adjacency List,"This task focuses on representing a graph using adjacency lists. Step by step, store neighbors for each vertex. Hint: More space efficient than matrix.",Adjacency list created,Correct representation
DS-M-043,Medium,Implement Breadth-First Search (BFS),"In this task, you will implement BFS traversal of a graph. BFS is used in shortest path algorithms. Step by step, use a queue and visited array. Hint: Visit neighbors level by level.",BFS traversal output,Correct traversal logic
DS-M-044,Medium,Implement Depth-First Search (DFS),"This task requires implementing DFS traversal of a graph. DFS is used in cycle detection. Step by step, use recursion or stack. Hint: Go deep before backtracking.",DFS traversal output,Correct traversal logic
DS-M-045,Medium,Compare BFS and DFS Traversal,"In this task, you will compare BFS and DFS in terms of traversal order, use cases, and complexity. Step by step, analyze differences. Hint: BFS uses queue, DFS uses stack.",Comparison explanation provided,"Correct analysis, clarity"
DS-H-001,Hard,Implement Binary Search Tree with Core Operations,"In this task, you will design and implement a complete Binary Search Tree (BST) that supports insertion, searching, and inorder traversal operations. This task is important because BSTs are widely used in databases, indexing systems, and memory-efficient searching applications. Step by step, you must define a tree node structure, implement insertion logic that maintains BST properties, implement search functionality, and perform inorder traversal to display sorted elements. Hint: Ensure that for every node, values in the left subtree are smaller and values in the right subtree are larger.","BST correctly inserts nodes, searches values, and displays sorted traversal","Correct BST property maintenance, accurate traversal output, efficient search logic"
DS-H-002,Hard,Delete Node from Binary Search Tree,"This task focuses on implementing node deletion in a Binary Search Tree, which is more complex than insertion. This operation is important because real systems require removal of records while maintaining structure. Step by step, handle deletion cases including leaf node, node with one child, and node with two children. Hint: For nodes with two children, replace with inorder successor or predecessor.",Node deleted correctly while BST properties remain intact,"Correct handling of all deletion cases, tree integrity"
DS-H-003,Hard,Validate a Binary Search Tree,"In this task, you will verify whether a given binary tree satisfies Binary Search Tree properties. Validation is important in systems where tree data may be modified dynamically. Step by step, traverse the tree and ensure each node falls within valid value ranges. Hint: Use min and max constraints during recursion.",BST validity correctly determined,"Accurate validation logic, efficient traversal"
DS-H-004,Hard,Find Lowest Common Ancestor in BST,"This task requires finding the lowest common ancestor (LCA) of two nodes in a BST. LCAs are used in hierarchical systems such as file directories and access control trees. Step by step, traverse the BST based on node values until the split point is found. Hint: Use BST ordering to optimize traversal.",Correct LCA identified,"Efficient logic, correct node comparison"
DS-H-005,Hard,Convert Sorted Array into Balanced BST,"In this task, you will convert a sorted array into a height-balanced Binary Search Tree. Balanced trees improve search performance. Step by step, select middle element as root and recursively build left and right subtrees. Hint: Divide array into halves recursively.",Balanced BST constructed successfully,"Tree balance, correct recursive logic"
DS-H-006,Hard,Implement AVL Tree Insertion,"This task introduces self-balancing trees by implementing AVL tree insertion. AVL trees automatically maintain height balance, which is critical in high-performance systems. Step by step, insert nodes and perform required rotations based on balance factors. Hint: Track height difference between subtrees.",AVL tree remains balanced after insertion,"Correct rotations, balance factor handling"
DS-H-007,Hard,Implement AVL Tree Rotations,"In this task, you will implement left, right, left-right, and right-left rotations used in AVL trees. Understanding rotations is essential for self-balancing structures. Step by step, adjust pointers and heights during rotations. Hint: Test rotations independently before integration.",All AVL rotations function correctly,"Correct pointer updates, rotation accuracy"
DS-H-008,Hard,Check Balance Factor of AVL Tree,"This task focuses on calculating and validating the balance factor of nodes in an AVL tree. Balance checking ensures tree remains height-balanced. Step by step, compute heights of subtrees and determine balance factor. Hint: Balance factor = height(left) - height(right).",Correct balance factor computed,"Accurate height calculation, correct formula usage"
DS-H-009,Hard,Implement Heap Sort Algorithm,"In this task, you will implement heap sort using a binary heap. Heap sort is an efficient comparison-based sorting algorithm used in system-level applications. Step by step, build a heap and repeatedly extract maximum or minimum element. Hint: Heapify array before sorting.",Array sorted correctly using heap sort,"Correct heap construction, sorting accuracy"
DS-H-010,Hard,Build Priority Queue Using Heap,"This task requires implementing a priority queue using a heap data structure. Priority queues are used in scheduling, simulations, and networking. Step by step, implement enqueue with priority and dequeue highest priority element. Hint: Higher priority should be served first.",Priority queue operations work correctly,"Correct priority handling, heap integrity"
DS-H-011,Hard,Implement Graph Using Adjacency List,"In this task, you will implement a graph using an adjacency list representation. Graphs model real-world networks such as social media and routing systems. Step by step, define vertex structure and store neighbors efficiently. Hint: Use lists for each vertex.",Graph adjacency list created successfully,"Correct representation, memory efficiency"
DS-H-012,Hard,Detect Cycle in Undirected Graph,"This task focuses on detecting cycles in an undirected graph. Cycle detection is essential in dependency resolution systems. Step by step, use DFS and track visited nodes and parent. Hint: Ignore parent node during DFS.",Cycle detection result correct,"Accurate DFS logic, correct parent handling"
DS-H-013,Hard,Detect Cycle in Directed Graph,"In this task, you will detect cycles in a directed graph using recursion stack or coloring method. Cycle detection is important in task scheduling systems. Step by step, track visited and recursion stack states. Hint: Back-edge indicates a cycle.",Directed cycle correctly detected,"Correct use of recursion stack, logical flow"
DS-H-014,Hard,Implement Topological Sorting Using DFS,"This task requires implementing topological sorting for a Directed Acyclic Graph (DAG). Topological order is used in build systems and scheduling. Step by step, perform DFS and push nodes to stack after visiting neighbors. Hint: Only works for DAGs.",Valid topological order generated,"Correct DFS logic, order correctness"
DS-H-015,Hard,Implement Topological Sorting Using Kahn’s Algorithm,"In this task, you will implement topological sorting using Kahn’s algorithm based on indegree counting. This approach is widely used in real systems. Step by step, calculate indegrees and process zero-indegree nodes. Hint: Use queue for processing.",Topological order generated correctly,"Correct indegree calculation, queue usage"
DS-H-016,Hard,Implement Shortest Path Using BFS,"This task focuses on finding the shortest path in an unweighted graph using BFS. Shortest path algorithms are used in routing and navigation systems. Step by step, maintain distance array and queue. Hint: BFS guarantees shortest path in unweighted graphs.",Shortest path distances computed,"Correct BFS traversal, accurate distances"
DS-H-017,Hard,Implement Dijkstra’s Algorithm,"In this task, you will implement Dijkstra’s algorithm to find shortest paths in a weighted graph. This algorithm is widely used in GPS and network routing. Step by step, use a priority queue to select minimum distance node. Hint: Dijkstra does not support negative weights.",Shortest paths computed correctly,"Correct algorithm implementation, efficiency"
DS-H-018,Hard,Implement Bellman-Ford Algorithm,"This task introduces the Bellman-Ford algorithm for graphs with negative weights. It is used in systems where edge costs can be negative. Step by step, relax edges repeatedly and check for negative cycles. Hint: Perform V-1 iterations.",Correct shortest paths or negative cycle detected,"Correct relaxation logic, cycle detection"
DS-H-019,Hard,Implement Floyd-Warshall Algorithm,"In this task, you will implement Floyd-Warshall algorithm to compute all-pairs shortest paths. This algorithm is useful in dense graphs. Step by step, update distance matrix using dynamic programming. Hint: Triple nested loops required.",All-pairs shortest paths computed,"Correct DP logic, matrix updates"
DS-H-020,Hard,Implement Disjoint Set (Union-Find) Data Structure,"This task focuses on implementing the Disjoint Set data structure used in network connectivity and Kruskal’s algorithm. Step by step, implement find and union operations with path compression. Hint: Path compression improves efficiency.",Union-Find operations work correctly,"Correct parent tracking, optimized operations"
DS-H-021,Hard,Detect Cycle Using Union-Find,"In this task, you will use the Union-Find structure to detect cycles in an undirected graph. This approach is efficient for large graphs. Step by step, process edges and check root parents. Hint: Cycle exists if two vertices share same root.",Cycle detection accurate,"Correct Union-Find usage, efficiency"
DS-H-022,Hard,Implement Minimum Spanning Tree Using Kruskal’s Algorithm,"This task requires building a Minimum Spanning Tree (MST) using Kruskal’s algorithm. MSTs are used in network design and optimization. Step by step, sort edges and apply Union-Find to avoid cycles. Hint: Choose smallest edge first.",MST constructed correctly,"Correct edge selection, no cycles"
